eventID,sampleID,measurementID,measurementType,measurementValue,measurementUnit,Unnamed: 6
MPO-OPANO-BOTTOMTRAWL-1988-09-09T00:09Z,MPO-OPANO-BOTTOMTRAWL-1988-14631,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00152,total weight,20.41666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-11T19:06Z,MPO-OPANO-BOTTOMTRAWL-1988-14879,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00154,total weight,5,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-12T12:45Z,MPO-OPANO-BOTTOMTRAWL-1988-14942,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00156,total weight,8.75,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-12T16:31Z,MPO-OPANO-BOTTOMTRAWL-1988-14956,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00158,total weight,2.058823529,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-12T19:40Z,MPO-OPANO-BOTTOMTRAWL-1988-14970,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00160,total weight,14,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-12T21:16Z,MPO-OPANO-BOTTOMTRAWL-1988-14981,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00162,total weight,2.1875,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-15T07:18Z,MPO-OPANO-BOTTOMTRAWL-1988-15185,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00164,total weight,32.66666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-15T22:02Z,MPO-OPANO-BOTTOMTRAWL-1988-15244,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00166,total weight,3.28125,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-19T18:30Z,MPO-OPANO-BOTTOMTRAWL-1988-15276,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00168,total weight,2.1875,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-20T10:38Z,MPO-OPANO-BOTTOMTRAWL-1988-15304,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00170,total weight,3.28125,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-20T17:21Z,MPO-OPANO-BOTTOMTRAWL-1988-15331,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00172,total weight,0.65625,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-20T22:00Z,MPO-OPANO-BOTTOMTRAWL-1988-15361,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00174,total weight,5.833333333,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-21T03:45Z,MPO-OPANO-BOTTOMTRAWL-1988-15399,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00176,total weight,4.861111111,kg,
